! note: initial lines of file can contain comments
!
            52 -- model for mesa/star, with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      5.3506842667144049D+01
                    model_number                            2908
                        star_age      5.0480109868242461D+06
                       initial_z      2.1789999999999999D-03
                        n_shells                            2375
                        net_name   'basic2.net'
                         species                              10

                lnd                        lnT                        lnR                          L                         dq                      omega                   conv_vel                   h1                         he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       ca40                       fe56     
   24    -2.2588431408301583D+01     1.0403252598773717D+01     2.8529004391696449D+01     3.2187518535068702D+39     6.8810734077188078D-11     7.1002709548131219D-06     1.7711575220527839D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   25    -2.2572987479093979D+01     1.0410666864047850D+01     2.8528749847333600D+01     3.2187517975610395D+39     6.8810734077201729D-11     7.1002709553852190D-06     2.0496936347739036D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   26    -2.2561651353856135D+01     1.0416095410426100D+01     2.8528499013858578D+01     3.2187517398193072D+39     3.4405367038596521D-11     7.1002709558824275D-06     2.3952336775817344D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   27    -2.2551191970810444D+01     1.0421447518852242D+01     2.8528374941076677D+01     3.2187517104886724D+39     6.8810734077191391D-11     7.1002709561022845D-06     3.3927496703869053D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   28    -2.2537446947395216D+01     1.0428400721572290D+01     2.8528129241198460D+01     3.2187516513765905D+39     6.8493633920160377D-11     7.1002709564531905D-06     3.7793756969324228D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   29    -2.2524248748289887D+01     1.0435173038720286D+01     2.8527887835847876D+01     3.2187515923533034D+39     6.8493633920153964D-11     7.1002709567488340D-06     3.8089487335725946D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   30    -2.2511488109677877D+01     1.0441786596745463D+01     2.8527649424150487D+01     3.2187515335480414D+39     6.8493633920158103D-11     7.1002709570027358D-06     3.8384845874904849D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   31    -2.2499097679228809D+01     1.0448247042545812D+01     2.8527413868000493D+01     3.2187514753364849D+39     6.8493633920151903D-11     7.1002709573001281D-06     3.8677789976172292D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   32    -2.2487016256373539D+01     1.0454559701669901D+01     2.8527181048972778D+01     3.2187514180346941D+39     6.8493633920150660D-11     7.1002709576430982D-06     3.8966663901962107D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   33    -2.2475190474520134D+01     1.0460729614101655D+01     2.8526950865999808D+01     3.2187513619054008D+39     6.8493633920156860D-11     7.1002709579707232D-06     3.9249807510105325D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   34    -2.2463576431088632D+01     1.0466761560165367D+01     2.8526723232820625D+01     3.2187513071711806D+39     6.8493633920149417D-11     7.1002709582663960D-06     3.9526314634600812D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   35    -2.2452134815588244D+01     1.0472660085577396D+01     2.8526498075217968D+01     3.2187512540373930D+39     6.8493633920150243D-11     7.1002709585185810D-06     3.9795132258004382D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   36    -2.2440830028117395D+01     1.0478429524881740D+01     2.8526275329497664D+01     3.2187512026951083D+39     6.8493633920150243D-11     7.1002709587066332D-06     4.0055417543105713D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   37    -2.2429630657541337D+01     1.0484074054095713D+01     2.8526054941246922D+01     3.2187511533173127D+39     6.8493633920150243D-11     7.1002709588462478D-06     3.4553318723138168D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   38    -2.2413683280058402D+01     1.0492347386168126D+01     2.8525836864054241D+01     3.2187511061036233D+39     1.3698726784032970D-10     7.1002709589707215D-06     2.7802461173354346D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   39    -2.2396426195247678D+01     1.0500298666401124D+01     2.8525407192766429D+01     3.2187510184561207D+39     6.8493633920159755D-11     7.1002709592486672D-06     2.7134711438335532D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   40    -2.2380616195949061D+01     1.0508066380842866D+01     2.8525195829602889D+01     3.2187509780727534D+39     1.3698726784031605D-10     7.1002709594002269D-06     2.1493130725901714D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   41    -2.2363562773904845D+01     1.0515544549431792D+01     2.8524779341991202D+01     3.2187509041416366D+39     6.8493633920158103D-11     7.1002709598710076D-06     1.9444989849332268D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   42    -2.2347805025950431D+01     1.0522858348715082D+01     2.8524574428424212D+01     3.2187508705794254D+39     1.3698726784029786D-10     7.1002709602648179D-06     1.6222446325487716D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
